"Timestamp","Year","
GPA","Do you drink? (At least once a week on average)","
Do you smoke weed? (At least once a week on average)","Do you consume nicotine? (At least once a week on average)","Do you take any other drugs? (At least once a week on average)","
Do you party? That is, do you drink/smoke/etc in large groups? (At least once a week on average)"
"2026/03/09 4:30:31 PM MDT","2nd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:31:37 PM MDT","4th Year","2.5 - 3.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:31:43 PM MDT","3rd Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:31:49 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:32:12 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:32:20 PM MDT","3rd Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:32:23 PM MDT","3rd Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:32:24 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:32:28 PM MDT","3rd Year","3.0 - 3.5","Yes","Yes","No","No","No"
"2026/03/09 4:32:42 PM MDT","4th Year","3.0 - 3.5","Yes","No","Yes","No","Yes"
"2026/03/09 4:32:46 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:32:49 PM MDT","1st Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:33:05 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:33:12 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:33:17 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:33:21 PM MDT","4th Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:33:23 PM MDT","4th Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:33:23 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:33:24 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:33:34 PM MDT","4th Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:33:36 PM MDT","4th Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:33:36 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:33:40 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:33:42 PM MDT","4th Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:33:43 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","Yes","Yes","Yes"
"2026/03/09 4:33:46 PM MDT","4th Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:33:48 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:33:54 PM MDT","3rd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:33:55 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:34:01 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:34:02 PM MDT","4th Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:34:05 PM MDT","3rd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:34:05 PM MDT","3rd Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:34:06 PM MDT","2nd Year","3.5 - 4.0","Yes","Yes","Yes","Yes","Yes"
"2026/03/09 4:34:17 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:34:28 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:34:32 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","No","No","Yes"
"2026/03/09 4:34:33 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:34:46 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","No"
"2026/03/09 4:34:55 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:34:55 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:34:57 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:35:29 PM MDT","4th Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:35:44 PM MDT","4th Year","3.0 - 3.5","Yes","No","No","No","Yes"
"2026/03/09 4:35:48 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:36:20 PM MDT","1st Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:36:26 PM MDT","1st Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:36:43 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:36:51 PM MDT","1st Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:38:09 PM MDT","Other","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:38:18 PM MDT","1st Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:38:54 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:38:56 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","Yes","Yes"
"2026/03/09 4:39:02 PM MDT","3rd Year","3.0 - 3.5","Yes","No","No","No","Yes"
"2026/03/09 4:39:05 PM MDT","2nd Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:39:09 PM MDT","2nd Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:39:09 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:39:13 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:39:13 PM MDT","1st Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:39:37 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:39:40 PM MDT","1st Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:39:40 PM MDT","1st Year","3.0 - 3.5","Yes","No","No","No","Yes"
"2026/03/09 4:39:49 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:39:51 PM MDT","2nd Year","3.0 - 3.5","Yes","Yes","No","No","Yes"
"2026/03/09 4:39:53 PM MDT","3rd Year","2.5 - 3.0","Yes","No","No","No","Yes"
"2026/03/09 4:40:00 PM MDT","1st Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:40:06 PM MDT","1st Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:40:43 PM MDT","1st Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:40:56 PM MDT","1st Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:41:07 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:41:10 PM MDT","3rd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:42:27 PM MDT","Other","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:42:28 PM MDT","4th Year","3.0 - 3.5","Yes","No","No","No","Yes"
"2026/03/09 4:42:30 PM MDT","3rd Year","3.0 - 3.5","Yes","Yes","No","No","Yes"
"2026/03/09 4:44:55 PM MDT","Graduate Student","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:48:02 PM MDT","Graduate Student","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:48:51 PM MDT","3rd Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:49:39 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:49:50 PM MDT","3rd Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:50:29 PM MDT","4th Year","3.5 - 4.0","No","No","Yes","No","Yes"
"2026/03/09 4:51:40 PM MDT","3rd Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:52:36 PM MDT","3rd Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:58:31 PM MDT","3rd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 5:00:44 PM MDT","1st Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:00:49 PM MDT","2nd Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:04:37 PM MDT","4th Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 5:04:46 PM MDT","1st Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 5:05:17 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","No","No","Yes"
"2026/03/09 5:05:20 PM MDT","4th Year","3.0 - 3.5","Yes","No","No","No","No"
"2026/03/09 5:05:38 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:05:48 PM MDT","2nd Year","2.0 - 2.5","No","No","No","No","No"
"2026/03/09 5:06:03 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:06:40 PM MDT","4th Year","3.0 - 3.5","Yes","No","No","No","Yes"
"2026/03/09 5:07:09 PM MDT","3rd Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:07:34 PM MDT","2nd Year","2.0 - 2.5","Yes","No","No","No","Yes"
"2026/03/09 5:07:43 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","Yes"
"2026/03/09 5:07:55 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 5:07:57 PM MDT","2nd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 5:08:06 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:08:26 PM MDT","4th Year","3.0 - 3.5","Yes","No","No","No","Yes"
"2026/03/09 5:09:25 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","Yes","Yes"
"2026/03/09 5:09:44 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","Yes","Yes"
"2026/03/09 5:10:49 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 5:11:11 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 5:11:32 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:11:57 PM MDT","2nd Year","2.5 - 3.0","No","No","No","No","No"
"2026/03/09 5:12:34 PM MDT","2nd Year","3.0 - 3.5","Yes","No","Yes","No","Yes"
"2026/03/09 5:12:58 PM MDT","1st Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 5:13:08 PM MDT","1st Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:13:24 PM MDT","3rd Year","3.0 - 3.5","Yes","No","Yes","Yes","Yes"
"2026/03/09 5:13:26 PM MDT","2nd Year","3.0 - 3.5","Yes","No","No","No","Yes"
"2026/03/09 5:13:44 PM MDT","2nd Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:13:52 PM MDT","1st Year","3.0 - 3.5","Yes","No","No","Yes","Yes"
"2026/03/09 5:14:02 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 5:14:15 PM MDT","2nd Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 5:32:10 PM MDT","3rd Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 5:33:24 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 6:00:56 PM MDT","4th Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 6:05:06 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 6:23:29 PM MDT","3rd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 6:47:14 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 7:42:11 PM MDT","2nd Year","3.5 - 4.0","Yes","No","No","No","Yes"
